date,floor,bedroom,bathroom,square,district,investor,price
02/10/2020,0,2,NULL,52.0,Hoàng Mai,Green Park Trần Thủ Độ,NULL
02/10/2020,1,2,2,69.0,Nam Từ Liêm,Vinhomes West Point,2570.0
02/10/2020,0,NULL,NULL,78.0,Hai Bà Trưng,Vinhomes Times City - Park Hill,3550.0
02/10/2020,4,1,1,70.0,Hoàn Kiếm,Pacific Place,3690.0
02/10/2020,4,2,2,NULL,Hà Đông,Khu nhà ở Bắc Hà,NULL
02/10/2020,4,2,2,69.0,Hoàng Mai,Athena Complex Pháp Vân,1311.0
02/10/2020,3,3,2,76.0,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,2431.0
02/10/2020,4,2,2,72.0,Long Biên,TSG Lotus Sài Đồng,2000.0
02/10/2020,1,3,NULL,92.0,Long Biên,TSG Lotus Sài Đồng,2254.0
02/10/2020,1,3,2,100.0,Hai Bà Trưng,Times City,3500.0
02/10/2020,4,3,2,120.0,Hà Đông,Seasons Avenue,3450.0
02/10/2020,1,NULL,NULL,93.0,Cầu Giấy,Indochina Plaza Hanoi,5000.0
02/10/2020,1,3,3,170.0,Thanh Xuân,Royal City,6000.0
02/10/2020,1,1,1,NULL,Hai Bà Trưng,Sunshine Garden,1660.0
11/09/2020,4,2,NULL,59.0,Nam Từ Liêm,NHS Phương Canh Residence,1062.0
16/09/2020,0,3,2,98.0,Nam Từ Liêm,Sun Square,2900.0
11/09/2020,1,2,2,63.0,Nam Từ Liêm,NHS Phương Canh Residence,1071.0
21/09/2020,1,3,NULL,139.0,Bắc Từ Liêm,Goldmark City,3200.0
24/09/2020,2,1,NULL,55.0,Ba Đình,Vinhomes Metropolis - Liễu Giai,NULL
25/09/2020,4,3,2,85.68,Hà Đông,ICID Complex,1800.0
28/09/2020,0,4,3,167.0,Đống Đa,Vinhomes Nguyễn Chí Thanh,11500.0
28/09/2020,3,2,2,68.0,Hà Đông,ICID Complex,NULL
28/09/2020,0,3,NULL,161.0,Hai Bà Trưng,Vincom Center Bà Triệu,12500.0
28/09/2020,3,2,2,77.4,Thanh Xuân,Chung cư PCC1 Triều Khúc,2300.0
28/09/2020,0,3,2,97.0,Bắc Từ Liêm,Sunshine City,3650.0
28/09/2020,4,3,2,94.3,Hoàng Mai,Nam Đô Complex 609 Trương Định,2450.0
28/09/2020,2,NULL,NULL,70.0,Long Biên,Mipec Riverside,NULL
28/09/2020,2,1,1,50.0,Nam Từ Liêm,Vinhomes Skylake,2180.0
28/09/2020,2,2,NULL,71.0,Long Biên,TSG Lotus Sài Đồng,1980.0
28/09/2020,2,3,2,119.0,Tây Hồ,Khu đô thị Nam Thăng Long - Ciputra,3600.0
29/09/2020,3,3,2,85.0,Thanh Xuân,Riverside Garden,3000.0
